目录,题目类型,大题题干,小题题型,小题题干,正确答案,答案解析,难易度,知识点,标签,选项数,选项A,选项B,选项C,选项D,选项E,选项F,选项G,选项H,选项I,选项J,选项K,选项L,选项M,选项N,选项O,选项P,选项Q,选项R,选项S,选项T,选项U,选项V,选项W,选项X,选项Y,选项Z
,单选题,以下哪种查找方式的时间复杂度最差，为 O(n)？,,,A,线性查找是在无序表中逐个比较元素，其最坏时间复杂度为 O(n)。而二分查找适用于有序表，时间为 O(log n)，哈希查找在理想情况下接近 O(1)，树形查找如平衡二叉树的时间也为 O(log n)。,中,,,4,线性查找,二分查找,哈希查找,树形查找,,,,,,,,,,,,,,,,,,,,,,
,多选题,以下哪些数据结构适合实现有序查找？,,,AC,数组和二叉搜索树可以实现有序查找，其中数组需要预先排序，而二叉搜索树的结构天然支持有序性。链表、堆和哈希表不适合直接实现有序查找。,中,,,5,数组,链表,二叉搜索树,堆,哈希表,,,,,,,,,,,,,,,,,,,,,
,判断题,静态查找表允许在查找过程中进行插入或删除操作。,,,B,静态查找表仅支持查找操作，不允许插入或删除。动态查找表才支持这些操作。,中,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,填空题,查找表中，______ 是用于唯一标识一个记录的关键属性，而 ______ 则用于辅助查询。,,,,主关键字具有唯一性，用于标识记录；次关键字用于辅助查找，但不具备唯一性。,中,,,2,主关键字,次关键字,,,,,,,,,,,,,,,,,,,,,,,,
,填空题,二分查找要求查找表必须是 ______ 表，且关键字 ______ 递增或递减排列。,,,,二分查找依赖于表的有序性，每次查找将搜索区间缩小一半，从而提高效率。,中,,,2,有序,按,,,,,,,,,,,,,,,,,,,,,,,,
,填空题,查找表的基本操作包括查找、______ 和 ______（仅限动态查找表）。,,,,动态查找表支持插入和删除操作，而静态查找表不支持。,中,,,2,插入,删除,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,线性表是具有n(n≥0)个数据项的有限序列。,,,B,是“数据元素”的有限序列。,易,,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,简答题,8．在线性表的顺序存储结构中，插入和删除时移动元素的个数与该元素的位置有关。（）,,,A,,易,,,1,√,,,,,,,,,,,,,,,,,,,,,,,,,
,判断题,在顺序表上进行插入、删除操作时需要移动元素的个数与待插入或待删除元素的位置无关。,,,B,,易,线性表的顺序存储表示;顺序表的存储结构定义;顺序表的初始化;顺序表的插入;顺序表的删除;顺序表的合并,,2,正确,错误,,,,,,,,,,,,,,,,,,,,,,,,
,单选题,在非数值计算领域，数据结构常常用于处理大规模符号数据。以下哪一种数据结构最适合表示化学分子式，比如 ？,,,B,在化学分子表示中，图结构是最合适的，因为原子之间的连接关系本质上是一种图关系：节点代表原子，边代表化学键。链表、堆栈和树虽然也能组织数据，但无法有效表达原子之间的复杂连接方式。,中,案例导学 ——非数值计算中的数据结构问题,,4,链表,图结构,堆栈,树结构,,,,,,,,,,,,,,,,,,,,,,
,简答题,,,,A,,易,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,
